SEMA3A
MS4A1
CR2
SPINK5
AICDA
TNFRSF13B
CD70
DNASE1L3
CD40
NLRC4
C1R
C3
MPO
IGLL1
RNU4ATAC
TNFRSF4
IL21R
IL10
SERPING1
GP9
PRF1
RPS26
TBX1
TNFSF11
USP18
ISG15
BLNK
C4BPA
MCM4
MPL
GATA2
RPS28
C1QC
C1QB
CFD
CSF3R
CEBPE
PCCA
MEFV
CFP
TNFRSF1A
ZAP70
RPL26
BCL11B
CD3D
CFH
DNMT3B
BACH2
TERT
RAG1
CFTR
NCF4
CSF2RB
CD79A
STAT1
NCF2
IL2RA
IL1RN
NLRP12
ITGAM
FPR1
CHD7
RPS7
CLEC7A
C1QA
RAG2
THBD
C1S
RPS17
RPL35A
SH2D1A
ELANE
CSF2RA
F5
CD247
CD3E
FCGR3A
CFB
HELLS
ZMYND10
RPS10
RPL15
LRBA
RPL36
RPS15A
RPS27A
RPL5
GINS1
ACTB
